"","record","gender","age","age_category","state","use_smartphone","use_tablet","use_computer","use_smarttv","use_console","use_other","phonetype","q1","q3","q5","q6","q8","q13","q14","q15","q16","q17","q18","dstraightliner","selfrated_usage","qusage2_iosc1","qusage2_iosc2","noanswerqusage2_ios_r99","qusage2_andr1c1","qusage2_andr1c2","qusage2_andr2c1","qusage2_andr2c2","qusage2_andr3c1","qusage2_andr3c2","qusage2_andr4c1","qusage2_andr4c2","qusage2_andr5c1","qusage2_andr5c2","qusage2_andr6c1","qusage2_andr6c2","qusage2_andr7c1","qusage2_andr7c2","noanswerqusage2_and_r99","unique_psu_responses","problematic_only1uniquepsu","usage_minutes","qusage2_andr_day1","qusage2_andr_day2","qusage2_andr_day3","qusage2_andr_day4","qusage2_andr_day5","qusage2_andr_day6","qusage2_andr_day7","androidusage_minutes","usage_hours","isfemale","malefemale","usage_loghours","iphone_user","device_count","q1_agree","q3_agree","q5_agree","q6_agree","q8_agree","q13_agree","q14_agree","q15_agree","q16_agree","q17_agree","q18_agree","selfrated_usage_rawnumeric","selfrated_usage_numeric","selfrated_min","selfrated_max","selfrated_usage_accuracy","problematic_morethan16hours","problematic_inconsistentselfwithgt8","problematic_morethan12hours","android_day_unique","probelmatic_android_repeat","problematic_missingusage","problematic_missingselfratedusage","has_missingdata","has_validity_issue","retain","probsmart","techconcern"
"1",3,"Male",43,"35-44","NSW",1,1,1,1,1,0,"android",4,4,2,4,5,1,2,2,5,1,5,"No","2 to 3 hours",NA,NA,NA,3,56,2,40,3,17,4,45,4,22,2,38,2,41,0,4,FALSE,208.428571428571,236,160,197,285,262,158,161,208.428571428571,3.47380952380952,FALSE,"Male",1.49824028813605,FALSE,5,1,1,0,1,1,0,0,0,1,0,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.14285714285714,3.25
"2",4,"Female",34,"25-34","VIC",1,1,0,1,0,0,"iphone",3,5,5,5,5,3,5,5,5,5,5,"No","3 to 4 hours",4,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,266,NA,NA,NA,NA,NA,NA,NA,NA,4.43333333333333,TRUE,"Female",1.69255281914461,TRUE,3,0,1,1,1,1,0,1,1,1,1,1,4,210,3,4,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.42857142857143,5
"3",6,"Female",48,"45-54","QLD",1,0,1,0,0,0,"iphone",3,3,4,5,2,3,1,3,3,2,3,"No","Less than 1 hour",2,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,135,NA,NA,NA,NA,NA,NA,NA,NA,2.25,TRUE,"Female",1.17865499634165,TRUE,2,0,0,1,1,0,0,0,0,0,0,0,1,30,0,1,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2.75
"4",5,"Female",52,"45-54","QLD",1,0,1,0,0,0,"android",3,3,2,2,2,1,2,4,5,5,5,"No","More than 4 hours",NA,NA,NA,4,10,4,20,4,0,5,0,4,10,4,20,4,10,0,5,FALSE,258.571428571429,250,260,240,300,250,260,250,258.571428571429,4.30952380952381,TRUE,"Female",1.66950215317675,FALSE,2,0,0,0,0,0,0,0,1,1,1,1,5,357,4,24,"accurate",FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.14285714285714,4.75
"5",7,"Male",37,"35-44","SA",1,1,0,1,1,0,"iphone",4,4,4,5,3,3,3,3,3,3,4,"No","2 to 3 hours",4,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,250,NA,NA,NA,NA,NA,NA,NA,NA,4.16666666666667,FALSE,"Male",1.64222773525709,TRUE,4,1,1,1,1,0,0,0,0,0,0,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.71428571428571,3.25
"6",8,"Female",32,"25-34","NSW",1,0,1,0,0,0,"android",5,2,3,3,3,1,1,3,5,3,4,"No","3 to 4 hours",NA,NA,NA,5,40,5,6,5,47,6,17,6,29,6,32,5,25,0,5,FALSE,353.714285714286,340,306,347,377,389,392,325,353.714285714286,5.8952380952381,TRUE,"Female",1.93083104222819,FALSE,2,1,0,0,0,0,0,0,0,1,0,1,4,210,3,4,"underestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.57142857142857,3.75
"7",9,"Male",32,"25-34","WA",1,1,1,1,1,0,"android",4,4,5,4,3,5,4,4,3,3,4,"No","2 to 3 hours",NA,NA,NA,2,33,1,3,3,3,2,2,5,2,1,1,1,1,0,3,FALSE,135,153,63,183,122,302,61,61,135,2.25,FALSE,"Male",1.17865499634165,FALSE,5,1,1,1,1,0,1,1,1,0,0,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.14285714285714,3.5
"9",11,"Female",53,"45-54","TAS",1,0,0,0,0,0,"android",3,3,1,1,1,1,2,5,5,5,5,"No","3 to 4 hours",NA,NA,NA,2,37,3,14,2,53,1,43,4,10,2,8,3,12,0,5,FALSE,171,157,194,173,103,250,128,192,171,2.85,TRUE,"Female",1.34807314829969,FALSE,1,0,0,0,0,0,0,0,1,1,1,1,4,210,3,4,"overestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.71428571428571,5
"12",19,"Male",45,"45-54","SA",1,0,1,1,0,0,"iphone",4,4,4,4,3,5,4,3,4,4,5,"No","Less than 1 hour",0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,17,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,FALSE,"Male",0.249460859631583,TRUE,3,1,1,1,1,0,1,1,0,1,1,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,4
"13",18,"Female",23,"18-24","QLD",1,0,1,0,0,0,"iphone",4,3,4,4,4,4,4,4,4,4,3,"No","More than 4 hours",8,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,513,NA,NA,NA,NA,NA,NA,NA,NA,8.55,TRUE,"Female",2.25654115449264,TRUE,2,1,0,1,1,1,1,1,1,1,1,0,5,357,4,24,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.85714285714286,3.75
"15",22,"Female",39,"35-44","NSW",1,1,1,0,0,0,"iphone",1,4,3,3,2,2,4,5,5,5,5,"No","2 to 3 hours",4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,243,NA,NA,NA,NA,NA,NA,NA,NA,4.05,TRUE,"Female",1.61938824328727,TRUE,3,0,1,0,0,0,0,1,1,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.71428571428571,5
"16",23,"Female",27,"25-34","VIC",1,1,1,0,0,0,"iphone",4,4,4,4,5,4,3,3,3,4,3,"No","More than 4 hours",8,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,486,NA,NA,NA,NA,NA,NA,NA,NA,8.1,TRUE,"Female",2.2082744135228,TRUE,3,1,1,1,1,1,1,0,0,0,1,0,5,357,4,24,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3.25
